exposure,item,label,verdict
A_Z,DPQ010,Anhedonia,"SAME DIRECTION, UNCERTAIN"
A_Z,DPQ020,Depressed mood,"SAME DIRECTION, UNCERTAIN"
A_Z,DPQ030,Sleep,"SAME DIRECTION, UNCERTAIN"
A_Z,DPQ040,Fatigue,INCONSISTENT
A_Z,DPQ050,Appetite,INCONSISTENT
A_Z,DPQ060,Self-worth,"SAME DIRECTION, UNCERTAIN"
A_Z,DPQ070,Concentration,INCONSISTENT
A_Z,DPQ080,Psychomotor,"SAME DIRECTION, UNCERTAIN"
A_Z,DPQ090,Suicidality,"SAME DIRECTION, UNCERTAIN"
G_HBA1C_Z,DPQ010,Anhedonia,INCONSISTENT
G_HBA1C_Z,DPQ020,Depressed mood,"SAME DIRECTION, UNCERTAIN"
G_HBA1C_Z,DPQ030,Sleep,"SAME DIRECTION, UNCERTAIN"
G_HBA1C_Z,DPQ040,Fatigue,"SAME DIRECTION, UNCERTAIN"
G_HBA1C_Z,DPQ050,Appetite,INCONSISTENT
G_HBA1C_Z,DPQ060,Self-worth,INCONSISTENT
G_HBA1C_Z,DPQ070,Concentration,INCONSISTENT
G_HBA1C_Z,DPQ080,Psychomotor,"SAME DIRECTION, UNCERTAIN"
G_HBA1C_Z,DPQ090,Suicidality,INCONSISTENT
AG_Z,DPQ010,Anhedonia,"SAME DIRECTION, UNCERTAIN"
AG_Z,DPQ020,Depressed mood,"SAME DIRECTION, UNCERTAIN"
AG_Z,DPQ030,Sleep,INCONSISTENT
AG_Z,DPQ040,Fatigue,INCONSISTENT
AG_Z,DPQ050,Appetite,"SAME DIRECTION, UNCERTAIN"
AG_Z,DPQ060,Self-worth,INCONSISTENT
AG_Z,DPQ070,Concentration,"SAME DIRECTION, UNCERTAIN"
AG_Z,DPQ080,Psychomotor,"SAME DIRECTION, UNCERTAIN"
AG_Z,DPQ090,Suicidality,INCONSISTENT
